"id","business_name","market","website","contact_email","phone","source_url","priority","status","why_fit","next_action"
"34","Agung Jaya Detailing","Surabaya / Sidoarjo / Gresik","https://salonmobilterdekat.com/","","","https://salonmobilterdekat.com/","1","to_verify","Salon mobil panggilan Surabaya dengan full detailing, coating, poles, interior, exterior, dan area Sidoarjo-Gresik.","Cari nomor booking lalu pitch lead assistant untuk area multi-kota."
"35","NNpoles / Bengob Auto Detailing","Gresik","https://bengob-auto-detailing.business.site/","","0812-5230-7688","https://www.semuabis.com/bengob-poles-mobil-panggilan-0812-5230-7688","3","to_verify","Listing menyebut salon mobil panggilan di Gresik, buka 24 jam, dengan website Business Site dan telepon.","Cek Business Site/Google Maps aktif sebelum kontak."
"36","Tukang Salon Mobil Sidoarjo","Sidoarjo","https://www.tukangsidoarjo.com/tukang-salon-mobil-sidoarjo/","","081223344314","https://www.tukangsidoarjo.com/tukang-salon-mobil-sidoarjo/","2","to_verify","Salon mobil panggilan Sidoarjo dengan nano ceramic coating, interior, eksterior, mesin, dan garansi.","Verifikasi apakah lead masuk ke operator umum atau owner."
"37","Bengkel Super","Surabaya / Sidoarjo","https://bengkelsuper.com/","","0822-4508-3696","https://bengkelsuper.com/","2","to_verify","Layanan panggilan Surabaya untuk servis dan detailing kendaraan, termasuk salon mobil panggilan.","Pitch routing lead agar salon/detailing dipisah dari servis umum."
"38","Salon Mobil Panggilan dan Cat Body Repair Sidoarjo","Sidoarjo","https://lokari.id/salon-mobil-panggilan-dan-cat-body-repair-sidoarjo_zoxWYwpDRN","","0821-4044-5966","https://lokari.id/salon-mobil-panggilan-dan-cat-body-repair-sidoarjo_zoxWYwpDRN","3","to_verify","Listing lokal untuk salon mobil panggilan dan cat body repair dengan kategori detailing dan nomor telepon.","Cek apakah ada kanal resmi dan apakah mereka menerima booking WhatsApp."
"39","Max Plus Auto Detailing","Malang","https://maxplusautodetailingsalonmobil.wordpress.com/salon-mobil-panggilan-di-malang/","maxplusautodetailing23@gmail.com","081358020022","https://maxplusautodetailingsalonmobil.wordpress.com/salon-mobil-panggilan-di-malang/","2","to_verify","Menyediakan salon mobil panggilan di Malang dengan WhatsApp, telepon, email, dan Instagram.","Verifikasi akun Instagram aktif lalu pitch asisten quote untuk konsultasi awal."
"40","Tukang Salon Mobil Malang","Malang","https://www.tukangmalang.com/tukang-salon-mobil-malang-panggilan-2/","","081212127088","https://www.tukangmalang.com/tukang-salon-mobil-malang-panggilan-2/","2","to_verify","Salon mobil panggilan Malang dengan detailing eksterior, interior mendalam, poles body, coating, fogging, mesin, dan paket lengkap.","Hubungi via WhatsApp dan personalisasi pada banyaknya opsi layanan."
"41","Nur Salon Mobil","Malang","http://polesmobilpanggilanmalangraya.blogspot.com/","","0897-9757-493","https://id.worldorgs.com/katalog/malang/bengkel-perawatan-bodi-mobil/nur-salon-mobil-poles-mobil-panggilan","3","to_verify","Listing lokal untuk poles mobil panggilan Malang dengan situs blogspot dan nomor telepon.","Cek apakah nomor dan blog masih aktif sebelum outreach."
"42","Catfish Auto Detailing Malang","Malang Selatan","https://id.worldorgs.com/katalog/malang/bengkel-mobil/catfish-auto-detailing-malang-salon-mobil-panggilan-malang-salon-mobil-malang-selatan","","","https://id.worldorgs.com/katalog/malang/bengkel-mobil/catfish-auto-detailing-malang-salon-mobil-panggilan-malang-salon-mobil-malang-selatan","3","to_verify","Listing lokal menyebut auto detailing dan salon mobil panggilan Malang Selatan dengan ulasan positif.","Cari nomor/Google Maps utama sebelum outreach."
"43","La Bali Cleaning Service - Auto Detailing","Denpasar / Singaraja / Bali","https://www.labalicleaningservice.com/la-bali-jasa-auto-detailing-salon-mobil-denpasar-singaraja.html","labalicleaningservice@gmail.com","0878-6193-7805","https://www.labalicleaningservice.com/la-bali-jasa-auto-detailing-salon-mobil-denpasar-singaraja.html","1","to_verify","Jasa auto detailing dan salon mobil panggilan Denpasar-Singaraja dengan email, telepon, dan area layanan Bali.","Pitch asisten booking untuk lokasi, jadwal, dan paket detailing."
"44","Tukang Salon Mobil Bali","Bali / Denpasar","https://www.tukangbali.com/tukang-salon-mobil-bali/","","081234508433","https://www.tukangbali.com/tukang-salon-mobil-bali/","2","to_verify","Salon mobil panggilan area Bali dengan interior, eksterior, dan layanan datang ke lokasi.","Verifikasi kualitas prospek dan kontak WhatsApp."
"45","Myrari Multicleaning","Medan","https://pergimulu.com/salon-mobil-medan/","","","https://pergimulu.com/salon-mobil-medan/","3","to_verify","Artikel rekomendasi menyebut layanan detailing, coating, protection, dan cuci mobil panggilan di Medan.","Cari website/Instagram resmi sebelum outreach."
"46","Nadenggan18 Autocare","Medan Maimun","https://disatu.web.id/niaga/salon-mobil-murah-medan-maimun-nadenggan18-autocare-0851-1781-8651","","0851-1781-8651","https://disatu.web.id/niaga/salon-mobil-murah-medan-maimun-nadenggan18-autocare-0851-1781-8651","3","to_verify","Listing menyebut layanan detailing premium dan jasa poles mobil panggilan Medan.","Verifikasi kanal resmi dan apakah area layanan masih aktif."
"47","Salon Mobil Panggilan Palembang","Palembang","https://www.semuabis.com/salon-mobil-panggilan_150-0858-3260-0090","","0858-3260-0090","https://www.semuabis.com/salon-mobil-panggilan_150-0858-3260-0090","3","to_verify","Listing lokal cuci/perawatan mobil panggilan Palembang dengan nomor telepon dan alamat.","Cek Google Maps dan layanan detail/poles sebelum outreach."
"48","Candi Motor Mandiri DENSO","Palembang","https://candimotormandiri.id/","","","https://candimotormandiri.id/","2","to_verify","Bengkel AC DENSO Palembang yang juga menawarkan salon mobil dan jasa poles mobil serta layanan panggilan.","Cari kontak admin dan pitch routing lead antara AC, body, salon, dan poles."
"49","Cuci Mobil Panggilan Naja Al Semarang","Semarang","https://cuci-mobil-panggilan-naja-al-semarang.business.site/","","0895-1069-1859","https://www.semuabis.com/cuci-mobil-panggilan-naja-al-semarang-0895-1069-1859","3","to_verify","Listing Semarang untuk cuci mobil panggilan dengan website Business Site dan nomor telepon.","Verifikasi apakah ada detailing/coating sebelum outreach."
"50","JSS Autodetailing Semarang","Semarang","","","0817722207","https://alamatbagus.com/salon-mobil-semarang/","3","to_verify","Artikel rekomendasi menyebut JSS sebagai salon mobil panggilan Semarang dengan detailing, coating, fogging, dan cleaning.","Cari website/Instagram resmi lalu hubungi jika masih aktif."
